meals,speed,acuity,Rate
244,0.11,0.15,200.0
267,0.12,0.15,200.0
282,0.13,0.15,200.0
285,0.14,0.15,200.0
322,0.15,0.15,200.0
346,0.16,0.15,200.0
363,0.17,0.15,200.0
389,0.18,0.15,200.0
418,0.19,0.15,200.0
0,0.0,0.16,200.0
21,0.01,0.16,200.0
38,0.02,0.16,200.0
64,0.03,0.16,200.0
92,0.04,0.16,200.0
108,0.05,0.16,200.0
121,0.06,0.16,200.0
148,0.07,0.16,200.0
177,0.08,0.16,200.0
193,0.09,0.16,200.0
213,0.1,0.16,200.0
249,0.11,0.16,200.0
244,0.12,0.16,200.0
268,0.13,0.16,200.0
304,0.14,0.16,200.0
321,0.15,0.16,200.0
337,0.16,0.16,200.0
362,0.17,0.16,200.0
354,0.18,0.16,200.0
411,0.19,0.16,200.0
0,0.0,0.17,200.0
28,0.01,0.17,200.0
38,0.02,0.17,200.0
71,0.03,0.17,200.0
92,0.04,0.17,200.0
111,0.05,0.17,200.0
137,0.06,0.17,200.0
151,0.07,0.17,200.0
180,0.08,0.17,200.0
195,0.09,0.17,200.0
206,0.1,0.17,200.0
244,0.11,0.17,200.0
262,0.12,0.17,200.0
282,0.13,0.17,200.0
295,0.14,0.17,200.0
311,0.15,0.17,200.0
314,0.16,0.17,200.0
355,0.17,0.17,200.0
368,0.18,0.17,200.0
400,0.19,0.17,200.0
0,0.0,0.18,200.0
22,0.01,0.18,200.0
46,0.02,0.18,200.0
69,0.03,0.18,200.0
88,0.04,0.18,200.0
112,0.05,0.18,200.0
135,0.06,0.18,200.0
152,0.07,0.18,200.0
185,0.08,0.18,200.0
188,0.09,0.18,200.0
222,0.1,0.18,200.0
243,0.11,0.18,200.0
260,0.12,0.18,200.0
273,0.13,0.18,200.0
296,0.14,0.18,200.0
316,0.15,0.18,200.0
330,0.16,0.18,200.0
361,0.17,0.18,200.0
386,0.18,0.18,200.0
389,0.19,0.18,200.0
0,0.0,0.19,200.0
25,0.01,0.19,200.0
43,0.02,0.19,200.0
58,0.03,0.19,200.0
90,0.04,0.19,200.0
108,0.05,0.19,200.0
133,0.06,0.19,200.0
148,0.07,0.19,200.0
174,0.08,0.19,200.0
202,0.09,0.19,200.0
216,0.1,0.19,200.0
255,0.11,0.19,200.0
263,0.12,0.19,200.0
272,0.13,0.19,200.0
300,0.14,0.19,200.0
308,0.15,0.19,200.0
345,0.16,0.19,200.0
358,0.17,0.19,200.0
375,0.18,0.19,200.0
380,0.19,0.19,200.0
0,0.0,0.0,300.0
0,0.01,0.0,300.0
0,0.02,0.0,300.0
0,0.03,0.0,300.0
0,0.04,0.0,300.0
0,0.05,0.0,300.0
0,0.06,0.0,300.0
0,0.07,0.0,300.0
0,0.08,0.0,300.0
0,0.09,0.0,300.0
0,0.1,0.0,300.0
0,0.11,0.0,300.0
0,0.12,0.0,300.0
0,0.13,0.0,300.0
0,0.14,0.0,300.0
0,0.15,0.0,300.0
0,0.16,0.0,300.0
0,0.17,0.0,300.0
0,0.18,0.0,300.0
0,0.19,0.0,300.0
0,0.0,0.01,300.0
6,0.01,0.01,300.0
19,0.02,0.01,300.0
24,0.03,0.01,300.0
20,0.04,0.01,300.0
28,0.05,0.01,300.0
30,0.06,0.01,300.0
43,0.07,0.01,300.0
45,0.08,0.01,300.0
49,0.09,0.01,300.0
53,0.1,0.01,300.0
60,0.11,0.01,300.0
65,0.12,0.01,300.0
75,0.13,0.01,300.0
75,0.14,0.01,300.0
65,0.15,0.01,300.0
84,0.16,0.01,300.0
89,0.17,0.01,300.0
96,0.18,0.01,300.0
75,0.19,0.01,300.0
0,0.0,0.02,300.0
8,0.01,0.02,300.0
24,0.02,0.02,300.0
36,0.03,0.02,300.0
47,0.04,0.02,300.0
47,0.05,0.02,300.0
79,0.06,0.02,300.0
61,0.07,0.02,300.0
91,0.08,0.02,300.0
93,0.09,0.02,300.0
117,0.1,0.02,300.0
106,0.11,0.02,300.0
129,0.12,0.02,300.0
148,0.13,0.02,300.0
162,0.14,0.02,300.0
164,0.15,0.02,300.0
177,0.16,0.02,300.0
199,0.17,0.02,300.0
181,0.18,0.02,300.0
212,0.19,0.02,300.0
0,0.0,0.03,300.0
16,0.01,0.03,300.0
32,0.02,0.03,300.0
40,0.03,0.03,300.0
62,0.04,0.03,300.0
87,0.05,0.03,300.0
97,0.06,0.03,300.0
120,0.07,0.03,300.0
150,0.08,0.03,300.0
148,0.09,0.03,300.0
151,0.1,0.03,300.0
181,0.11,0.03,300.0
188,0.12,0.03,300.0
199,0.13,0.03,300.0
206,0.14,0.03,300.0
209,0.15,0.03,300.0
233,0.16,0.03,300.0
246,0.17,0.03,300.0
292,0.18,0.03,300.0
293,0.19,0.03,300.0
0,0.0,0.04,300.0
15,0.01,0.04,300.0
42,0.02,0.04,300.0
69,0.03,0.04,300.0
93,0.04,0.04,300.0
86,0.05,0.04,300.0
132,0.06,0.04,300.0
168,0.07,0.04,300.0
167,0.08,0.04,300.0
131,0.09,0.04,300.0
167,0.1,0.04,300.0
194,0.11,0.04,300.0
232,0.12,0.04,300.0
251,0.13,0.04,300.0
247,0.14,0.04,300.0
243,0.15,0.04,300.0
306,0.16,0.04,300.0
303,0.17,0.04,300.0
325,0.18,0.04,300.0
319,0.19,0.04,300.0
0,0.0,0.05,300.0
20,0.01,0.05,300.0
45,0.02,0.05,300.0
66,0.03,0.05,300.0
80,0.04,0.05,300.0
125,0.05,0.05,300.0
123,0.06,0.05,300.0
135,0.07,0.05,300.0
176,0.08,0.05,300.0
215,0.09,0.05,300.0
223,0.1,0.05,300.0
237,0.11,0.05,300.0
220,0.12,0.05,300.0
269,0.13,0.05,300.0
288,0.14,0.05,300.0
318,0.15,0.05,300.0
351,0.16,0.05,300.0
374,0.17,0.05,300.0
338,0.18,0.05,300.0
386,0.19,0.05,300.0
0,0.0,0.06,300.0
21,0.01,0.06,300.0
45,0.02,0.06,300.0
61,0.03,0.06,300.0
92,0.04,0.06,300.0
127,0.05,0.06,300.0
137,0.06,0.06,300.0
158,0.07,0.06,300.0
171,0.08,0.06,300.0
224,0.09,0.06,300.0
234,0.1,0.06,300.0
225,0.11,0.06,300.0
284,0.12,0.06,300.0
305,0.13,0.06,300.0
301,0.14,0.06,300.0
339,0.15,0.06,300.0
357,0.16,0.06,300.0
