energy,speed,acuity,Rate
-29.599999999999348,0.09,0.1,100.0
-57.00000000000055,0.1,0.1,100.0
-64.60000000000099,0.11,0.1,100.0
-79.40000000000045,0.12,0.1,100.0
-125.40000000000109,0.13,0.1,100.0
-150.6000000000001,0.14,0.1,100.0
-177.00000000000287,0.15,0.1,100.0
-224.60000000000232,0.16,0.1,100.0
-231.3999999999959,0.17,0.1,100.0
-290.40000000000464,0.18,0.1,100.0
-331.5999999999991,0.19,0.1,100.0
-43.99999999999939,0.0,0.11,100.0
-28.60000000000026,0.01,0.11,100.0
-14.399999999999823,0.02,0.11,100.0
-13.40000000000014,0.03,0.11,100.0
0.4000000000000562,0.04,0.11,100.0
-7.999999999999966,0.05,0.11,100.0
-2.6000000000001453,0.06,0.11,100.0
-18.400000000000055,0.07,0.11,100.0
-31.399999999999878,0.08,0.11,100.0
-27.600000000000378,0.09,0.11,100.0
-48.000000000000554,0.1,0.11,100.0
-71.6000000000004,0.11,0.11,100.0
-98.39999999999998,0.12,0.11,100.0
-106.40000000000249,0.13,0.11,100.0
-162.59999999999948,0.14,0.11,100.0
-185.99999999999812,0.15,0.11,100.0
-219.59999999999673,0.16,0.11,100.0
-259.4000000000062,0.17,0.11,100.0
-278.39999999999975,0.18,0.11,100.0
-344.60000000000076,0.19,0.11,100.0
-48.00000000000004,0.0,0.12,100.0
-35.60000000000053,0.01,0.12,100.0
-28.400000000000407,0.02,0.12,100.0
-20.400000000000073,0.03,0.12,100.0
-16.599999999999813,0.04,0.12,100.0
-14.999999999999917,0.05,0.12,100.0
-12.600000000000358,0.06,0.12,100.0
-25.400000000000244,0.07,0.12,100.0
-19.40000000000022,0.08,0.12,100.0
-37.59999999999872,0.09,0.12,100.0
-42.99999999999884,0.1,0.12,100.0
-54.59999999999881,0.11,0.12,100.0
